rating_score,critic_likes,critic_comments,user_trialist,user_subscriber,user_eligible_for_trial,user_has_payment_method,movie_release_year,movie_title_language,movie_popularity,total_number_of_lists,total_list_comments,total_list_followers,total_list_movie_number
2.0,0,0,1,1,0,1,2005.0,en,1,13,25,422,1176
2.0,0,0,0,0,1,1,2005.0,en,1,12,5,21,2425
3.0,0,0,0,0,1,0,2005.0,en,1,5,1,6,57
3.0,0,0,0,0,1,1,2005.0,en,1,6,1,12,172
4.0,0,0,0,0,1,1,2005.0,en,1,15,7,7,459
4.0,0,0,0,0,1,1,2005.0,en,1,13,94,1047,3624
3.0,0,0,0,0,1,0,2005.0,en,1,2,2,2,7
4.0,0,0,0,0,1,0,2005.0,en,1,1,1,0,34
4.0,0,0,0,0,1,0,2004.0,en,3,2,3,34,67
4.0,0,0,1,1,0,1,2004.0,en,11,48,0,3,518
3.0,0,0,0,0,1,0,2004.0,en,11,13,20,25,371
1.0,0,0,0,0,1,1,2004.0,en,11,8,0,3,86
1.0,0,0,1,1,0,0,2004.0,en,11,16,0,26,906
4.0,0,0,0,1,0,1,2004.0,en,11,1,0,1,40
3.0,0,0,0,0,1,0,2004.0,en,11,5,0,1,354
2.0,0,0,0,0,0,1,2004.0,en,11,6,0,1,164
3.0,0,0,0,0,1,0,2004.0,en,11,6,13,19,481
1.0,0,0,0,0,1,0,2004.0,en,11,6,0,3,60
2.0,0,0,0,0,1,0,2004.0,en,11,2,0,0,194
2.0,1,0,0,0,1,0,2004.0,en,11,1,2,5,19
4.0,0,0,0,0,1,0,2004.0,en,11,9,0,2,297
4.0,0,0,0,0,1,0,2004.0,en,11,31,13,34,674
2.0,0,0,0,0,1,0,2004.0,en,11,1,0,1,219
2.0,0,0,0,0,1,0,2004.0,en,11,1,0,0,10
3.0,0,0,0,0,1,0,2004.0,en,11,28,1,24,1342
2.0,0,0,0,0,1,1,2004.0,en,11,1,0,0,18
4.0,0,0,0,0,1,1,2004.0,en,11,10,1,48,595
1.0,1,2,0,0,1,0,2004.0,en,11,4,4,6,23
1.0,0,0,0,1,0,1,2004.0,en,11,1,1,0,100
4.0,0,0,0,0,1,0,2004.0,en,11,1,3,854,577
4.0,0,0,0,0,1,0,2004.0,en,11,2,0,1,209
2.0,0,0,0,0,1,0,2004.0,en,11,2,0,2,25
3.0,0,0,0,0,1,0,2004.0,en,11,14,8,7,590
4.0,0,0,0,0,1,0,2004.0,en,11,3,7,4,83
2.0,0,0,0,1,0,1,2004.0,en,11,7,1,13,778
4.0,0,0,0,0,1,1,2004.0,en,11,11,4,10,245
5.0,0,0,0,0,1,0,2004.0,en,11,1,9,509,132
2.0,0,0,0,0,1,0,2004.0,en,11,9,51,50,876
2.0,0,0,0,0,1,0,2004.0,en,11,5,12,203,741
1.0,0,0,0,0,1,1,2004.0,en,11,1,0,1,26
3.0,0,0,0,0,1,0,2004.0,en,11,3,8,2,40
1.0,0,0,0,0,1,0,2004.0,en,11,1,0,0,37
3.0,0,0,0,0,1,0,2004.0,en,11,1,0,0,3
2.0,0,0,0,0,1,0,2004.0,en,11,9,9,54,719
4.0,0,0,0,1,0,1,2004.0,en,11,1,2,0,5
2.0,0,0,0,0,1,1,2004.0,en,11,1,0,0,2
2.0,0,0,0,0,1,0,2004.0,en,11,36,21,98,1015
2.0,0,0,0,0,1,1,2004.0,en,11,17,1,38,2958
2.0,0,0,0,0,1,0,2004.0,en,11,2,23,52,390
4.0,0,0,0,0,1,0,2004.0,en,11,6,8,29,74
5.0,0,0,0,0,0,1,2004.0,en,11,3,161,4144,1586
3.0,0,0,0,1,0,1,2004.0,en,11,5,15,39,90
1.0,0,0,0,0,1,0,2004.0,en,11,8,3,13,157
2.0,0,0,0,0,1,0,2004.0,en,11,9,0,2,111
3.0,0,0,0,1,0,1,2004.0,en,11,2,0,0,23
1.0,0,0,0,0,1,0,2004.0,en,11,8,1,3,73
4.0,0,0,0,1,0,0,2004.0,en,11,1,1,0,10
3.0,0,0,0,0,1,0,2004.0,en,11,1,0,2,10
5.0,0,0,1,1,0,1,2004.0,en,11,18,220,2535,8726
3.0,0,0,0,0,1,1,2004.0,en,11,2,0,0,20
3.0,0,0,0,0,1,0,2004.0,en,11,4,2,2,117
3.0,0,0,0,1,0,1,2008.0,en,77,1,0,0,16
4.0,0,0,0,0,1,0,2008.0,en,77,1,1,6,23
3.0,0,0,0,0,1,0,2008.0,en,77,31,4,13,584
4.0,0,0,0,1,0,1,2008.0,en,77,8,0,3,136
1.0,0,0,0,0,1,0,2008.0,en,77,1,0,1,326
5.0,0,0,0,0,1,0,2008.0,en,77,21,5,126,1816
4.0,1,0,0,1,0,1,2008.0,en,77,8,21,293,3365
3.0,0,0,0,0,1,0,2008.0,en,77,14,0,1,1783
1.0,0,0,0,1,0,1,2008.0,en,77,1,0,0,20
4.0,0,0,0,0,1,0,2008.0,en,77,2,0,0,36
3.0,0,0,0,1,0,1,2008.0,en,77,1,0,0,3
4.0,0,0,1,1,0,1,2008.0,en,77,8,2,35,1705
3.0,0,0,0,1,0,1,2008.0,en,77,1,0,2,9
3.0,0,0,0,0,1,0,2008.0,en,77,88,13,94,897
2.0,0,0,0,0,1,0,2008.0,en,77,4,0,16,235
3.0,0,0,0,1,0,1,2008.0,en,77,8,0,11,211
5.0,0,0,0,0,1,1,2008.0,en,77,1,0,0,0
5.0,1,0,0,1,0,1,2008.0,en,77,1,0,0,2
4.0,0,0,0,1,0,1,2008.0,en,77,1,0,0,2
1.0,0,0,0,1,0,1,2008.0,en,77,2,0,3,209
5.0,1,0,0,0,1,0,2008.0,en,77,1,0,0,2
3.0,0,0,0,1,0,1,2008.0,en,77,4,2,9,64
2.0,0,0,0,1,0,1,2008.0,en,77,1,0,0,1
4.0,1,0,0,1,0,1,2008.0,en,77,1,0,5,53
4.0,0,0,0,1,0,1,2008.0,en,77,2,0,5,53
4.0,1,0,0,1,0,1,2008.0,en,77,12,5,179,829
3.0,0,0,0,0,1,0,2008.0,en,77,10,0,1,69
3.0,0,0,0,1,0,1,2008.0,en,77,1,3,0,174
4.0,0,0,0,1,0,1,2008.0,en,77,3,0,2,679
2.0,0,0,0,1,0,1,2008.0,en,77,8,0,5,253
4.0,0,0,0,0,1,1,2008.0,en,77,1,0,1,60
3.0,0,0,0,0,1,0,2008.0,en,77,23,11,40,780
4.0,0,0,0,1,0,1,2008.0,en,77,6,0,7,395
4.0,0,0,0,0,1,1,2008.0,en,77,19,0,3,297
3.0,0,0,0,0,1,1,2008.0,en,77,4,0,32,213
3.0,0,0,1,1,0,0,2008.0,en,77,8,6,96,705
5.0,0,0,0,0,1,1,2008.0,en,77,8,0,4,101
4.0,0,0,0,1,0,0,2008.0,en,77,1,0,0,1
2.0,1,1,1,1,0,1,2008.0,en,77,31,24,111,1316
5.0,0,0,0,0,1,1,2008.0,en,77,15,0,0,228
4.0,0,0,0,0,1,1,2008.0,en,77,1,0,0,16
2.0,0,0,0,0,1,1,2008.0,en,77,1,0,12,100
4.0,0,0,0,0,1,1,2008.0,en,77,3,9,51,571
3.0,0,0,1,1,0,1,2008.0,en,77,80,42,908,6021
3.0,0,0,1,1,0,1,2008.0,en,77,15,0,1,58
3.0,0,0,0,1,0,1,2008.0,en,77,3,0,1,420
4.0,0,0,0,1,0,1,2008.0,en,77,30,10,19,1076
4.0,0,0,0,1,0,1,2008.0,en,77,32,2,321,2222
5.0,0,0,0,1,0,1,2008.0,en,77,12,2,30,772
3.0,0,0,0,0,1,1,2008.0,en,77,2,0,1,114
5.0,0,0,0,1,0,1,2008.0,en,77,7,0,0,61
5.0,0,0,0,0,1,1,2008.0,en,77,1,0,0,1
2.0,0,0,0,1,0,1,2008.0,en,77,8,5,144,2421
5.0,0,0,0,0,1,1,2008.0,en,77,1,0,0,15
5.0,0,0,0,0,1,1,2008.0,en,77,1,0,0,124
3.0,0,0,0,1,0,1,2008.0,en,77,1,0,0,32
4.0,0,0,0,0,1,0,2008.0,en,77,1,0,0,10
5.0,1,0,0,0,1,0,2008.0,en,77,5,0,11,246
3.0,0,0,0,1,0,1,2008.0,en,77,2,0,2,40
5.0,0,0,0,0,1,1,2008.0,en,77,1,0,1,5
4.0,0,0,0,1,0,1,2008.0,en,77,1,0,3,1
3.0,0,0,0,0,1,1,2008.0,en,77,7,0,2,201
4.0,1,0,0,0,1,0,2008.0,en,77,2,15,63,373
5.0,0,0,0,0,1,0,2008.0,en,77,1,0,1,45
3.0,0,0,0,0,1,1,2008.0,en,77,3,4,21,58
3.0,0,0,0,1,0,1,2008.0,en,77,20,50,2463,6191
4.0,0,0,0,0,0,1,2008.0,en,77,6,0,1,164
2.0,0,0,0,1,0,1,2008.0,en,77,1,0,0,1
3.0,0,0,0,0,0,1,2008.0,en,77,1,0,25,63
4.0,0,0,0,0,1,1,2008.0,en,77,1,0,0,177
2.0,0,0,0,1,0,1,2008.0,en,77,5,4,34,269
3.0,0,0,0,0,1,1,2008.0,en,77,2,0,2,51
4.0,1,0,0,1,0,1,2008.0,en,77,15,114,467,1023
4.0,0,0,1,1,0,0,2008.0,en,77,60,321,355,7419
2.0,0,0,1,1,0,1,2008.0,en,77,12,2,3,765
5.0,1,0,0,0,1,1,2008.0,en,77,1,0,3,186
3.0,0,0,0,0,1,0,2008.0,en,77,5,2,7,127
4.0,0,0,0,0,1,0,2008.0,en,77,13,0,0,97
4.0,0,0,0,0,1,0,2008.0,en,77,12,0,0,155
5.0,0,0,0,0,1,0,2008.0,en,77,7,0,0,72
4.0,0,0,0,0,1,1,2008.0,en,77,1,0,0,18
3.0,0,0,0,0,1,0,2008.0,en,77,8,2,1,94
